individual,location,fitness
315,0,1.011924
316,0,1.006937
317,0,1.006937
318,0,1.006937
319,0,1.011924
320,0,1.006937
321,0,1.006937
322,0,0.977002
323,0,1.006937
324,0,1.006937
325,0,1.006937
326,0,0.977002
327,0,1.011924
328,0,1.006937
329,0,1.006937
330,0,1.006937
331,0,1.006937
332,0,1.006937
333,0,1.006937
334,1,1.006937
335,0,1.006937
336,0,1.006937
337,0,1.011924
338,1,1.006937
339,0,1.011924
340,0,1.006937
341,0,1.006937
342,0,1.011924
343,0,1.006937
344,0,1.011924
345,0,1.006937
346,0,1.006937
347,0,1.006937
348,0,1.006937
349,0,1.006937
350,0,1.006937
351,0,1.003570
352,0,0.977002
353,0,1.006937
354,0,0.973736
355,0,0.947067
356,0,1.006937
357,0,1.006937
358,0,1.006937
359,0,1.006937
360,0,1.006937
361,1,1.006937
362,0,1.006937
363,0,1.006937
364,0,0.981841
365,0,1.006937
366,2,1.006937
367,0,0.977002
368,1,1.006937
369,0,1.006937
370,0,1.006937
371,0,1.006937
372,0,1.011924
373,0,1.006937
374,0,1.011924
375,0,1.006937
376,0,1.006937
377,0,1.006937
378,0,1.006937
379,2,1.006937
380,0,1.006937
381,0,1.006937
382,0,1.006937
383,0,1.003570
384,0,1.006937
385,0,1.006937
386,0,1.006937
387,1,1.011924
388,0,0.977002
389,0,1.003570
390,0,1.006937
391,0,1.006937
392,2,1.006937
393,2,1.006937
394,0,1.006937
395,0,1.006937
396,1,0.981841
397,0,1.006937
398,0,1.006937
399,0,1.006937
400,2,1.006937
401,0,1.006937
402,0,1.006937
403,0,1.006937
404,0,1.006937
405,0,1.006937
406,0,0.977002
407,0,1.006937
408,0,1.006937
409,0,1.006937
410,3,1.011924
411,0,1.006937
412,0,0.981841
413,0,1.006937
414,0,1.006937
415,3,1.006937
416,2,1.006937
417,0,1.006937
418,0,1.006937
419,0,1.006937
420,0,1.006937
421,0,1.006937
422,0,1.006937
423,0,1.006937
424,0,1.006937
425,1,1.006937
426,0,1.006937
427,0,1.006937
428,0,0.977002
429,0,1.006937
430,0,0.977002
431,0,0.977002
432,2,1.006937
433,0,1.006937
434,0,1.006937
435,0,1.003570
436,0,1.006937
437,1,1.006937
438,0,1.011924
439,0,1.006937
440,0,1.006937
441,0,1.006937
442,0,1.006937
443,0,1.006937
444,0,1.006937
445,0,1.011924
446,0,0.977002
447,0,0.977002
448,1,0.970272
449,0,0.977002
450,1,1.006937
451,0,0.977002
452,0,1.006937
453,0,1.006937
454,1,0.977002
455,0,1.006937
456,1,0.977002
457,0,1.006937
458,2,1.006937
459,0,1.011924
460,0,1.006937
461,0,0.977002
462,0,1.006937
463,0,1.006937
464,0,1.006937
465,0,0.981841
466,0,1.006937
467,0,1.006937
468,0,1.006937
469,1,1.006937
470,1,1.006937
471,0,0.947067
472,0,1.006937
473,2,1.006937
474,2,1.006937
475,0,1.006937
476,0,1.006937
477,0,1.006937
478,0,1.006937
479,0,1.006937
480,0,1.006937
481,0,1.006937
482,0,1.006937
483,0,1.006937
484,0,0.977002
485,0,1.006937
486,0,1.006937
487,0,0.977002
488,0,1.006937
489,0,1.006937
490,2,1.006937
491,1,1.006937
492,0,1.011924
493,0,1.006937
494,0,1.006937
495,0,0.977002
496,0,1.006937
497,0,1.006937
498,0,0.977002
499,0,1.006937
500,0,1.006937
501,1,1.006937
502,0,1.006937
503,0,1.006937
504,0,1.006937
505,0,1.006937
506,0,1.006937
507,0,1.006937
508,0,1.006937
509,0,1.006937
510,0,0.947067
511,0,1.006937
